ALGORITHM,DATASET,FILE SIZE (MB),ELEMENTS,STATE,ERROR,SORT,TIME (SECS)
COUNT SORT,CHESS,0.326,118252,ORIGINAL,False,True,0.027593
COUNT SORT,CHESS,0.326,118252,RANDOM 1,False,True,0.027982
COUNT SORT,CHESS,0.326,118252,RANDOM 2,False,True,0.028365
COUNT SORT,CHESS,0.326,118252,RANDOM 3,False,True,0.028618
COUNT SORT,CHESS,0.326,118252,RANDOM 4,False,True,0.028357
COUNT SORT,CHESS,0.326,118252,RANDOM 5,False,True,0.028319
COUNT SORT,MUSHROOM,0.544,186852,ORIGINAL,False,True,0.044427
COUNT SORT,MUSHROOM,0.544,186852,RANDOM 1,False,True,0.045481
COUNT SORT,MUSHROOM,0.544,186852,RANDOM 2,False,True,0.044398
COUNT SORT,MUSHROOM,0.544,186852,RANDOM 3,False,True,0.044567
COUNT SORT,MUSHROOM,0.544,186852,RANDOM 4,False,True,0.044863
COUNT SORT,MUSHROOM,0.544,186852,RANDOM 5,False,True,0.044745
RADIX SORT,CHESS,0.326,118252,ORIGINAL,False,True,0.069990
RADIX SORT,CHESS,0.326,118252,RANDOM 1,False,True,0.070327
RADIX SORT,CHESS,0.326,118252,RANDOM 2,False,True,0.070682
RADIX SORT,CHESS,0.326,118252,RANDOM 3,False,True,0.070032
RADIX SORT,CHESS,0.326,118252,RANDOM 4,False,True,0.069717
RADIX SORT,CHESS,0.326,118252,RANDOM 5,False,True,0.068867
RADIX SORT,MUSHROOM,0.544,186852,ORIGINAL,False,True,0.163566
RADIX SORT,MUSHROOM,0.544,186852,RANDOM 1,False,True,0.164224
RADIX SORT,MUSHROOM,0.544,186852,RANDOM 2,False,True,0.167422
RADIX SORT,MUSHROOM,0.544,186852,RANDOM 3,False,True,0.166952
RADIX SORT,MUSHROOM,0.544,186852,RANDOM 4,False,True,0.165819
RADIX SORT,MUSHROOM,0.544,186852,RANDOM 5,False,True,0.164474
